"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","FailByTimeActive","MeetTarget","YName","XName"
"1","A00049",3543.36,431.15,1507.46,11,1446,540,-5,"120","35","AUDUSD",5.02486666666667,199.010255661842,59703.0766985525,7051.64979501944,16.355444265382,3.35382117592485,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"2","A00042",3743.14,431.15,1507.46,11,1415,531,-5,"120","30","AUDUSD",5.02486666666667,199.010255661842,59703.0766985525,7449.23248378066,17.2775889685276,3.28192044532065,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"3","A00035",3733.71,431.15,1507.46,11,1367,514,-5,"120","25","AUDUSD",5.02486666666667,199.010255661842,59703.0766985525,7430.46581667175,17.2340619660716,3.17059028180448,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"4","A00028",3493.49,431.15,1360.49,11,1273,479,-4.5,"120","20","AUDUSD",4.53496666666667,220.508787275173,66152.6361825519,7703.45243257944,17.8672212282951,2.9525687115853,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"5","A00001",1861.65,431.12,1987.58,12,1215,445,-6.6,"1","5","AUDUSD",6.62526666666667,150.937320761932,45281.1962285795,2809.9246319645,6.51773202812326,2.81824086101317,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"6","A00098",824.39,427.86,1199.69,12,468,169,-4,"120","35","EURGBP",3.99896666666667,250.064600021672,75019.3800065017,2061.50755611866,4.81818248052789,1.09381573411864,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"7","A00091",602.52,427.86,1308.81,12,451,161,-4.4,"120","30","EURGBP",4.3627,229.215852568364,68764.7557705091,1381.0713548949,3.22785807248844,1.05408311129809,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"8","A00057",1084.09,427.84,1072.59,14,429,159,-3.6,"1","10","EURGBP",3.5753,279.696808659413,83909.042597824,3032.16513299583,7.08714737517724,1.00271129394166,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"9","A00064",886.89,427.82,1037.63,15,434,159,-3.5,"1","15","EURGBP",3.45876666666667,289.120399371645,86736.1198114935,2564.17990998718,5.99359522693465,1.01444532747417,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"10","A00071",1145.53,427.82,1019.28,13,419,156,-3.4,"1","20","EURGBP",3.3976,294.325406169061,88297.6218507182,3371.58582528844,7.88085135170969,0.979383853022299,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
