"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","FailByTimeActive","MeetTarget","YName","XName"
"23","A00182",-151.34,413.15,2406.35,11,745,259,-8,"50","50","GBPJPY",8.02116666666667,124.670143578449,37401.0430735346,-188.675795291624,-0.456676256303096,1.80321916979305,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"24","A00188",-963.01,413.15,2942.52,14,759,257,-9.8,"46","60","GBPJPY",9.8084,101.953427674238,30586.0283022715,-981.821703845683,-2.37642915126633,1.83710516761467,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"25","A00193",-552.53,413.15,2622.35,12,717,246,-8.7,"38","70","GBPJPY",8.74116666666667,114.401205026026,34320.3615078079,-632.100978130303,-1.52995516914027,1.73544717414982,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"26","A00245",2513.3,434.61,997.67,16,871,335,-3.3,"50","70","GBPUSD",3.32556666666667,300.700632473664,90210.1897420991,7557.50899596059,17.3891741928639,2.00409562596351,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"27","A00244",1654.59,434.61,1131.66,16,805,304,-3.8,"46","70","GBPUSD",3.7722,265.097290705689,79529.1872117067,4386.27326228726,10.0924352000351,1.85223533742896,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"28","A00238",2137.2,434.55,888.87,16,773,296,-3,"50","60","GBPUSD",2.9629,337.507172027406,101252.151608222,7213.20328056971,16.5992481430669,1.77885168565182,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"29","A00231",2205,434.55,935.75,14,718,278,-3.1,"50","50","GBPUSD",3.11916666666667,320.598450440823,96179.5351322469,7069.19583222014,16.2678537158443,1.65228397192498,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"30","A00243",1547.47,434.55,1089.62,16,720,272,-3.6,"42","70","GBPUSD",3.63206666666667,275.325342780052,82597.6028340155,4260.57708191847,9.80457273482561,1.65688643424232,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"31","A00294",1770.17,430.66,1622.42,12,930,348,-5.4,"50","70","NZDUSD",5.40806666666667,184.908963153807,55472.6889461422,3273.20299305975,7.60043420113256,2.15947615288162,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"32","A00293",1980.15,430.66,1556.96,13,875,331,-5.2,"46","70","NZDUSD",5.18986666666667,192.683177474052,57804.9532422156,3815.41593875244,8.85946207855951,2.03176519760368,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"33","A00287",2118.74,409.73,1556.96,12,851,325,-5.2,"50","60","NZDUSD",5.18986666666667,192.683177474052,57804.9532422156,4082.45555441373,9.96377017649117,2.07697752178264,"No","No","No","X__STOf.Length","X__STOf.Threshold"
