"","RawPassProfit","CappedProfit"
"1",121.871130051554,115.140897365434
"2",131.709359874258,125.0756604321
"3",113.418687170492,113.418687170492
"4",126.202943571437,126.202943571437
"5",97.8379712534033,97.8379712534033
"6",96.6108922326575,95.0311347969409
"7",101.710566688987,95.1154872394406
"8",112.623869828566,103.288908989222
"9",111.710345649976,94.1480766013738
"10",89.8744716963608,88.6821592653997
"11",81.2591908918284,75.8121925306849
"12",117.130848510244,102.826926859968
"13",113.700198897023,107.296320566554
"14",79.4646278648166,78.7734371245893
"15",110.930667937602,110.930667937602
"16",114.510790278931,114.510790278931
"17",144.243859293674,142.87353886446
"18",133.02439367282,114.200064058769
"19",124.44827811244,120.077884909239
"20",111.212503765474,101.152528069989
"21",103.356466923731,103.356466923731
"22",114.325159824433,112.615958606402
"23",103.708365295779,101.767555882981
"24",144.651367382107,124.608772116581
"25",138.515922742577,125.583323570189
"26",137.347160141478,115.923130531521
"27",106.86231653646,92.5044822925278
"28",118.101954578031,102.722179127248
"29",138.051082255522,128.890452991131
"30",111.650286071018,105.79891998602
"31",109.295105072016,69.5140809197253
"32",84.5221161604169,73.1026105129524
"33",73.0806100711284,64.1549620346525
"34",101.441313116226,73.3542382179079
"35",91.5306907788368,84.0754122567248
"36",123.024440194615,118.54291506203
"37",115.885841320593,111.020987315705
"38",113.958358279116,112.92565964592
"39",103.150540236368,99.1098070515417
"40",119.394952792285,119.394952792285
"41",100.69242994826,100.69242994826
"42",94.465856496523,94.465856496523
"43",95.3730453420518,94.5886978068495
"44",100.236326840407,93.6654260043221
"45",126.872852998381,108.786315831552
"46",71.9720660028046,71.9720660028046
"47",50.9611277787981,50.9611277787981
"48",17.5826184723255,17.5826184723255
"49",26.2305467937268,26.2305467937268
