"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","FailByTimeActive","MeetTarget","YName","XName"
"1","A00013",936.21,420.2,378.47,6,116,49,-1.3,"TEMA","6","AUDUSD",1.26156666666667,792.665204639734,237799.56139192,7421.01091235765,17.6606637609654,0.276059019514517,"No","No","No","X__PPO.Fast.Length","X__PPO.Fast.Type"
"2","A00002",774.07,420.2,376.29,6,116,48,-1.3,"DEMA","4","AUDUSD",1.2543,797.257434425576,239177.230327673,6171.33062265806,14.6866506964732,0.276059019514517,"No","No","No","X__PPO.Fast.Length","X__PPO.Fast.Type"
"3","A00004",723.73,420.2,478.81,8,115,47,-1.6,"Jurik","4","AUDUSD",1.59603333333333,626.55333013095,187965.999039285,4534.55441615672,10.7914193625814,0.273679200380771,"No","No","No","X__PPO.Fast.Length","X__PPO.Fast.Type"
"4","A00006",652.02,420.2,544.07,8,118,47,-1.8,"TEMA","4","AUDUSD",1.81356666666667,551.39963607624,165419.890822872,3595.2359071443,8.55601120215207,0.280818657782009,"No","No","No","X__PPO.Fast.Length","X__PPO.Fast.Type"
"5","A00008",555.31,420.2,397.11,6,119,47,-1.3,"Hull_HMA","6","AUDUSD",1.3237,755.458185389439,226637.455616832,4195.13484928609,9.98366218297499,0.283198476915754,"No","No","No","X__PPO.Fast.Length","X__PPO.Fast.Type"
"6","A00011",916.43,420.2,258.81,6,109,47,-0.9,"Jurik","6","AUDUSD",0.8627,1159.15150110119,347745.450330358,10622.8121015417,25.2803714934357,0.259400285578296,"No","No","No","X__PPO.Fast.Length","X__PPO.Fast.Type"
"7","A00015",781.87,420.2,293.19,6,113,47,-1,"Hull_HMA","8","AUDUSD",0.9773,1023.22725877417,306968.177632252,8000.30696817763,19.0392835987093,0.268919562113279,"No","No","No","X__PPO.Fast.Length","X__PPO.Fast.Type"
"8","A00018",968.33,420.2,280.25,5,107,47,-0.9,"Jurik","8","AUDUSD",0.934166666666667,1070.47279214987,321141.83764496,10365.7091882248,24.6685130609824,0.254640647310804,"No","No","No","X__PPO.Fast.Length","X__PPO.Fast.Type"
"9","A00057",1205.91,426.27,159.33,3,65,35,-0.5,"Hull_HMA","6","EURGBP",0.5311,1882.8845791753,564865.373752589,22705.8934287328,53.2664588845868,0.152485513876182,"No","Yes","Yes","X__PPO.Fast.Length","X__PPO.Fast.Type"
"10","A00053",1041.01,426.27,261.83,5,68,34,-0.9,"Jurik","4","EURGBP",0.872766666666667,1145.78161402437,343734.48420731,11927.7011801551,27.9815637510382,0.159523306824313,"No","Yes","No","X__PPO.Fast.Length","X__PPO.Fast.Type"
"11","A00055",1031.83,426.27,261.62,5,68,34,-0.9,"TEMA","4","EURGBP",0.872066666666667,1146.70132252886,344010.396758658,11832.0082562495,27.7570747560221,0.159523306824313,"No","Yes","No","X__PPO.Fast.Length","X__PPO.Fast.Type"
"12","A00062",1147.8,426.27,117.93,3,64,34,-0.4,"TEMA","6","EURGBP",0.3931,2543.88196387688,763164.589163063,29198.6771813788,68.4980814539582,0.150139582893471,"No","Yes","Yes","X__PPO.Fast.Length","X__PPO.Fast.Type"
