"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","FailByTimeActive","MeetTarget","YName","XName"
"1","A00021",410,360.52,1883.7,11,449,160,-6.3,"45","48","AUDUSD",6.279,159.261028826246,47778.3086478739,652.970218187609,1.81118999830137,1.24542327748807,"No","No","No","STOs.Length","STOs.TimeFrame"
"2","A00020",375.79,360.52,1938.55,11,438,156,-6.5,"45","44","AUDUSD",6.46183333333333,154.754842536948,46426.4527610843,581.553222769596,1.61309559183844,1.21491179407522,"No","No","No","STOs.Length","STOs.TimeFrame"
"3","A00028",198.42,359.02,2328.09,11,435,154,-7.8,"60","48","AUDUSD",7.7603,128.860997641844,38658.2992925531,255.685991520946,0.712177570945759,1.21163166397415,"No","No","No","STOs.Length","STOs.TimeFrame"
"4","A00024",290.48,360.52,1635.35,11,431,152,-5.5,"60","32","AUDUSD",5.45116666666667,183.446968538845,55034.0905616535,532.876754211637,1.47807820429279,1.19549539553978,"No","No","No","STOs.Length","STOs.TimeFrame"
"5","A00019",201.38,360.52,2039.59,11,425,150,-6.8,"45","40","AUDUSD",6.79863333333333,147.088385410793,44126.515623238,296.206590540256,0.8216093158223,1.17885276822368,"No","No","No","STOs.Length","STOs.TimeFrame"
"6","A00027",26.59,359.02,2191.01,12,429,150,-7.3,"60","44","AUDUSD",7.30336666666667,136.923154161779,41076.9462485338,36.4078666916171,0.101409020922559,1.19491950309175,"No","No","No","STOs.Length","STOs.TimeFrame"
"7","A00077",213.46,337.18,718.99,9,231,81,-2.4,"60","48","EURGBP",2.39663333333333,417.251978469798,125175.593540939,890.666073241631,2.64151513506623,0.685094015066137,"No","No","No","STOs.Length","STOs.TimeFrame"
"8","A00076",361.59,337.18,621.15,9,224,80,-2.1,"60","44","EURGBP",2.0705,482.975126780971,144892.538034291,1746.38976092731,5.17939901811291,0.664333590367163,"No","No","No","STOs.Length","STOs.TimeFrame"
"9","A00070",244.88,346.38,740.22,15,225,78,-2.5,"45","48","EURGBP",2.4674,405.284915295453,121585.474588636,992.461700575505,2.86523962288673,0.649575610601074,"No","No","No","STOs.Length","STOs.TimeFrame"
"10","A00068",391.48,346.38,731.02,10,217,76,-2.4,"45","40","EURGBP",2.43673333333333,410.385488769117,123115.646630735,1606.57711143334,4.63819248060898,0.626479588890814,"No","No","No","STOs.Length","STOs.TimeFrame"
"11","A00067",224.42,352.92,721.87,11,214,75,-2.4,"45","36","EURGBP",2.40623333333333,415.587294111128,124676.188233338,932.661005444193,2.64269807730985,0.606369715516264,"No","No","No","STOs.Length","STOs.TimeFrame"
"12","A00075",-54.68,337.18,828.82,9,221,75,-2.8,"60","40","EURGBP",2.76273333333333,361.96037740402,108588.113221206,-197.919934364518,-0.586985984828632,0.655436265496174,"No","No","No","STOs.Length","STOs.TimeFrame"
"13","A00119",465.75,358.08,770.59,11,357,127,-2.6,"45","48","EURJPY",2.56863333333333,389.312085544842,116793.625663453,1813.2210384251,5.06373167567332,0.996983914209115,"No","No","No","STOs.Length","STOs.TimeFrame"
"14","A00118",431.56,358.08,724.18,11,355,126,-2.4,"45","44","EURJPY",2.41393333333333,414.26164765666,124278.494296998,1787.78756662708,4.99270433039288,0.991398570151921,"No","No","No","STOs.Length","STOs.TimeFrame"
"15","A00126",416.55,359.07,1188.97,11,353,124,-4,"60","48","EURJPY",3.96323333333333,252.31923429523,75695.7702885691,1051.03577045678,2.92710549602245,0.983095218202579,"No","No","No","STOs.Length","STOs.TimeFrame"
"16","A00125",216.46,359.25,1308.78,11,353,122,-4.4,"60","44","EURJPY",4.3626,229.221106679503,68766.3320038509,496.172007518452,1.38113293672499,0.982602644398051,"No","No","No","STOs.Length","STOs.TimeFrame"
"17","A00124",318.31,358.83,1037.15,11,346,121,-3.5,"60","40","EURJPY",3.45716666666667,289.254206238249,86776.2618714747,920.725063876971,2.56590882556356,0.964244907059053,"No","No","No","STOs.Length","STOs.TimeFrame"
"18","A00175",136.12,358.81,1302,11,332,113,-4.3,"60","48","EURUSD",4.34,230.414746543779,69124.4239631337,313.640552995392,0.874113188025394,0.925280789275661,"No","No","No","STOs.Length","STOs.TimeFrame"
"19","A00174",-146.31,358.81,1294.11,13,328,109,-4.3,"60","44","EURUSD",4.3137,231.819551660987,69545.8654982961,-339.17518603519,-0.945277963365542,0.914132827959087,"No","No","No","STOs.Length","STOs.TimeFrame"
"20","A00173",-33.14,360.22,1309.75,9,322,108,-4.4,"60","40","EURUSD",4.36583333333333,229.051345676656,68715.4037029967,-75.9076159572437,-0.210725711946154,0.893898173338515,"No","No","No","STOs.Length","STOs.TimeFrame"
"21","A00172",-124.76,360.25,1159.35,9,306,102,-3.9,"60","36","EURUSD",3.8645,258.765687669815,77629.7063009445,-322.836071936861,-0.896144543891356,0.84941013185288,"No","No","No","STOs.Length","STOs.TimeFrame"
"22","A00166",-68.55,360.34,1382.4,9,302,101,-4.6,"45","40","EURUSD",4.608,217.013888888889,65104.1666666667,-148.763020833333,-0.41284070831252,0.838097352500416,"No","No","No","STOs.Length","STOs.TimeFrame"
"23","A00167",-63.72,360.34,1353.07,9,302,101,-4.5,"45","44","EURUSD",4.51023333333333,221.718019023406,66515.4057070218,-141.278721721714,-0.392070604766927,0.838097352500416,"No","No","No","STOs.Length","STOs.TimeFrame"
"24","A00216",-533.95,357.98,1997.98,10,373,123,-6.7,"45","44","GBPJPY",6.65993333333333,150.151653169701,45045.4959509104,-801.734752099621,-2.23960766551098,1.04195765126543,"No","No","No","STOs.Length","STOs.TimeFrame"
"25","A00217",-429.91,357.98,1854.66,9,369,123,-6.2,"45","48","GBPJPY",6.1822,161.754715149947,48526.414544984,-695.399695901135,-1.94256577434811,1.03078384267277,"No","No","No","STOs.Length","STOs.TimeFrame"
"26","A00222",-955.89,358.05,2272.88,10,371,118,-7.6,"60","40","GBPJPY",7.57626666666667,131.991130196051,39597.3390588152,-1261.69001443103,-3.52378163505385,1.03616813294233,"No","No","No","STOs.Length","STOs.TimeFrame"
"27","A00223",-883.84,358.05,2355.44,10,369,118,-7.9,"60","44","GBPJPY",7.85146666666667,127.364738647556,38209.4215942669,-1125.70050606256,-3.1439757186498,1.0305823209049,"No","No","No","STOs.Length","STOs.TimeFrame"
"28","A00221",-977.5,358.05,2289.65,10,368,117,-7.6,"60","36","GBPJPY",7.63216666666667,131.02439237438,39307.3177123141,-1280.76343545957,-3.57705190744189,1.02778941488619,"No","No","No","STOs.Length","STOs.TimeFrame"
"29","A00224",-1083.86,358.26,2521.91,10,372,117,-8.4,"60","48","GBPJPY",8.40636666666667,118.957456848183,35687.2370544548,-1289.33229179471,-3.59887314183752,1.03835203483504,"No","No","No","STOs.Length","STOs.TimeFrame"
"30","A00273",56.65,358.46,689.93,10,366,125,-2.3,"60","48","GBPUSD",2.29976666666667,434.826721551462,130448.016465439,246.329337758903,0.687187797129116,1.02103442504045,"No","No","No","STOs.Length","STOs.TimeFrame"
"31","A00272",33.88,358.46,719.07,11,361,123,-2.4,"60","44","GBPUSD",2.3969,417.205557178022,125161.667153406,141.349242771914,0.394323614271924,1.00708586732132,"No","No","No","STOs.Length","STOs.TimeFrame"
"32","A00271",101.99,360.21,1047.4,12,356,122,-3.5,"60","40","GBPUSD",3.49133333333333,286.423524918847,85927.057475654,292.123353064732,0.81098068644605,0.988312373337775,"No","No","No","STOs.Length","STOs.TimeFrame"
"33","A00266",-149.56,360.15,1067.11,11,357,119,-3.6,"45","48","GBPUSD",3.55703333333333,281.133154032855,84339.9462098565,-420.462745171538,-1.16746562591014,0.991253644314869,"No","No","No","STOs.Length","STOs.TimeFrame"
"34","A00270",-170.07,360.21,826.85,12,349,117,-2.8,"60","36","GBPUSD",2.75616666666667,362.822761081212,108846.828324364,-617.052669770817,-1.71303592285283,0.968879264873268,"No","No","No","STOs.Length","STOs.TimeFrame"
"35","A00320",382.17,358.75,1169.09,12,425,148,-3.9,"60","40","NZDUSD",3.89696666666667,256.609841842801,76982.9525528402,980.685832570632,2.73361904549305,1.18466898954704,"No","No","No","STOs.Length","STOs.TimeFrame"
"36","A00321",210.52,358.75,1212.21,12,427,147,-4,"60","44","NZDUSD",4.0407,247.481871952879,74244.5615858638,520.998836835202,1.45226156609115,1.19024390243902,"No","No","No","STOs.Length","STOs.TimeFrame"
"37","A00319",76.78,360.4,1303.27,12,425,145,-4.3,"60","36","NZDUSD",4.34423333333333,230.190213846709,69057.0641540126,176.740046191503,0.490399684216157,1.17924528301887,"No","No","No","STOs.Length","STOs.TimeFrame"
"38","A00322",129.05,358.75,899.91,11,420,144,-3,"60","48","NZDUSD",2.9997,333.366670000333,100010.0010001,430.20968763543,1.19919076692803,1.17073170731707,"No","No","No","STOs.Length","STOs.TimeFrame"
"39","A00315",-225.52,360.55,1667.87,11,418,141,-5.6,"45","48","NZDUSD",5.55956666666667,179.870133763423,53961.0401290268,-405.643125663271,-1.12506760688745,1.159339897379,"No","No","No","STOs.Length","STOs.TimeFrame"
"40","A00371",-183.58,358.85,1139.22,14,313,102,-3.8,"60","48","USDCAD",3.7974,263.338073418655,79001.4220255965,-483.436035181967,-1.34718137155348,0.872230737076773,"No","No","No","STOs.Length","STOs.TimeFrame"
"41","A00362",-340.43,360.17,1247.56,12,306,101,-4.2,"45","40","USDCAD",4.15853333333333,240.469396261503,72140.8188784508,-818.629965693033,-2.27289881359645,0.849598800566399,"No","No","No","STOs.Length","STOs.TimeFrame"
"42","A00363",-285.92,360.17,1227.99,12,304,101,-4.1,"45","44","USDCAD",4.0933,244.30166369433,73290.4991082989,-698.507316834828,-1.93938228290759,0.844045867229364,"No","No","No","STOs.Length","STOs.TimeFrame"
"43","A00361",-412.72,361.03,1303.37,12,305,100,-4.3,"45","36","USDCAD",4.34456666666667,230.172552690334,69051.7658071001,-949.968159463545,-2.63127208116651,0.844805140847021,"No","No","No","STOs.Length","STOs.TimeFrame"
"44","A00369",-214.83,358.85,1289.6,13,308,100,-4.3,"60","40","USDCAD",4.29866666666667,232.630272952854,69789.0818858561,-499.759615384615,-1.39266996066494,0.858297338720914,"No","No","No","STOs.Length","STOs.TimeFrame"
"45","A00370",-240.03,358.85,1261.38,14,309,100,-4.2,"60","44","USDCAD",4.2046,237.834752414023,71350.4257242068,-570.874756219379,-1.5908450779417,0.861084018392086,"No","No","No","STOs.Length","STOs.TimeFrame"
"46","A00420",-646.1,359.4,1656.57,16,373,123,-5.5,"60","48","USDCHF",5.5219,181.097086147884,54329.1258443652,-1170.06827360148,-3.25561567501802,1.0378408458542,"No","No","No","STOs.Length","STOs.TimeFrame"
"47","A00419",-459.72,360.02,1598.68,16,361,121,-5.3,"60","44","USDCHF",5.32893333333333,187.654815222559,56296.4445667676,-862.686716541146,-2.39621886712168,1.00272207099606,"No","No","No","STOs.Length","STOs.TimeFrame"
"48","A00418",-719.58,360.2,1560.35,16,349,114,-5.2,"60","40","USDCHF",5.20116666666667,192.264556029096,57679.3668087288,-1383.49729227417,-3.84091419287665,0.968906163242643,"No","No","No","STOs.Length","STOs.TimeFrame"
"49","A00417",-634.48,359.4,1529.64,16,344,113,-5.1,"60","36","USDCHF",5.0988,196.124578332157,58837.373499647,-1244.37122460187,-3.46235733055611,0.95715080690039,"No","No","No","STOs.Length","STOs.TimeFrame"
"50","A00416",-443.26,359.19,1374.53,16,332,111,-4.6,"60","32","USDCHF",4.58176666666667,218.256422195223,65476.9266585669,-967.443417022546,-2.69340298177161,0.924301901500599,"No","No","No","STOs.Length","STOs.TimeFrame"
"51","A00469",758.55,357.66,765.31,11,307,114,-2.6,"60","48","USDJPY",2.55103333333333,391.99801387673,117599.404163019,2973.50093426193,8.31376428524837,0.858357098920763,"No","No","No","STOs.Length","STOs.TimeFrame"
"52","A00468",617.63,358.04,813.89,11,302,111,-2.7,"60","44","USDJPY",2.71296666666667,368.600179385421,110580.053815626,2276.58528793817,6.35846633878386,0.843481175287677,"No","No","No","STOs.Length","STOs.TimeFrame"
"53","A00467",253.56,358.23,906.79,10,301,107,-3,"60","40","USDJPY",3.02263333333333,330.837349331157,99251.2047993471,838.871182964082,2.34171114357838,0.840242302431399,"No","No","No","STOs.Length","STOs.TimeFrame"
"54","A00462",-150.87,358.03,1165.96,13,303,103,-3.9,"45","48","USDJPY",3.88653333333333,257.298706645168,77189.6119935504,-388.186558715565,-1.08422913922175,0.846297796274055,"No","No","No","STOs.Length","STOs.TimeFrame"
"55","A00466",74.43,358.21,1062.38,10,294,102,-3.5,"60","36","USDJPY",3.54126666666667,282.384834051846,84715.4502155537,210.179031984789,0.586748086275617,0.820747606152815,"No","No","No","STOs.Length","STOs.TimeFrame"
"56","A00518",1283.15,353.89,1414.18,10,430,160,-4.7,"60","48","XAUUSD",4.71393333333333,212.137068831408,63641.1206494223,2722.03679871021,7.69175958266751,1.21506682867558,"No","No","No","STOs.Length","STOs.TimeFrame"
"57","A00517",1018.98,358.94,1538.21,10,436,159,-5.1,"60","44","XAUUSD",5.12736666666667,195.031887713641,58509.5663140923,1987.33592942446,5.53668002848515,1.21468769153619,"No","No","No","STOs.Length","STOs.TimeFrame"
"58","A00511",1534.48,359.18,1312.72,12,413,158,-4.4,"45","48","XAUUSD",4.37573333333333,228.533122067158,68559.9366201475,3506.79505149613,9.76333607521613,1.14984130519517,"No","No","No","STOs.Length","STOs.TimeFrame"
"59","A00516",1222.29,359.19,1556.06,11,424,157,-5.2,"60","40","XAUUSD",5.18686666666667,192.794622315335,57838.3866946005,2356.50938909811,6.56062081098613,1.18043375372366,"No","No","No","STOs.Length","STOs.TimeFrame"
"60","A00510",1576.19,359.18,1128.26,10,399,154,-3.8,"45","44","XAUUSD",3.76086666666667,265.896158686828,79768.8476060483,4191.02866360591,11.6683241372178,1.11086363383262,"No","No","No","STOs.Length","STOs.TimeFrame"
