"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","FailByTimeActive","MeetTarget","YName","XName"
"1","A00049",2336.4,431.15,2991.8,14,1263,465,-10,"120","35","AUDUSD",9.97266666666667,100.274082492145,30082.2247476436,2342.80366334648,5.43384822763883,2.92937492751942,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"2","A00035",1943.83,431.15,2651.22,14,1177,431,-8.8,"120","25","AUDUSD",8.8374,113.155452961278,33946.6358883835,2199.54964129721,5.10158794224102,2.72990838455294,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"3","A00008",1851.25,431.14,1869.83,10,1041,390,-6.2,"1","10","AUDUSD",6.23276666666667,160.442393158736,48132.7179476209,2970.18980335111,6.88915387890501,2.41452892331957,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"4","A00015",1688.27,431.09,1815.55,11,1026,385,-6.1,"1","15","AUDUSD",6.05183333333333,165.239183718432,49571.7551155297,2789.68356696318,6.47123238062395,2.38001345426709,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"5","A00028",1397.85,431.15,1676.37,14,1060,385,-5.6,"120","20","AUDUSD",5.5879,178.958105907407,53687.4317722221,2501.56588342669,5.80207789267468,2.45854111098226,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"6","A00057",1268.33,427.84,915.27,13,419,157,-3.1,"1","10","EURGBP",3.0509,327.772132813268,98331.6398439805,4157.23229211053,9.71679200661585,0.979338070306657,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"7","A00050",1175.27,427.84,860.29,11,415,154,-2.9,"1","5","EURGBP",2.86763333333333,348.719617803299,104615.88534099,4098.39705215683,9.57927508451017,0.969988780852655,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"8","A00064",1364.94,427.82,868.75,10,405,153,-2.9,"1","15","EURGBP",2.89583333333333,345.323741007194,103597.122302158,4713.4618705036,11.0173948635024,0.946659810200552,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"9","A00071",1394.43,427.84,645.75,12,396,149,-2.2,"1","20","EURGBP",2.1525,464.576074332172,139372.822299652,6478.18815331011,15.1416140456949,0.925579655946148,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"10","A00078",1188.06,427.81,750.72,12,384,144,-2.5,"1","25","EURGBP",2.5024,399.616368286445,119884.910485934,4747.68222506394,11.0976420024402,0.897594726630981,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"11","A00098",412.41,427.84,1222.52,11,407,144,-4.1,"120","35","EURGBP",4.07506666666667,245.394758367961,73618.4275103884,1012.03252298531,2.36544624856327,0.951290201944652,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"12","A00099",1401.69,408.86,1422.19,12,771,275,-4.7,"1","5","EURJPY",4.74063333333333,210.942279161012,63282.6837483037,2956.75683277199,7.23170971181332,1.88573105708555,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"13","A00106",551.3,408.86,1891.27,13,749,261,-6.3,"1","10","EURJPY",6.30423333333333,158.623570405072,47587.0711215215,874.49174364316,2.13885374857692,1.83192290759673,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"14","A00113",833.1,408.86,2027.28,13,716,255,-6.8,"1","15","EURJPY",6.7576,147.981531904818,44394.4595714455,1232.83414229904,3.01529653744324,1.7512106833635,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"15","A00120",367.7,408.86,2086,11,711,249,-7,"1","20","EURJPY",6.95333333333333,143.815915627996,43144.7746883989,528.811121764142,1.29337944960168,1.73898155847968,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
"16","A00127",310.79,408.88,2148.39,11,672,235,-7.2,"1","25","EURJPY",7.1613,139.639450937679,41891.8352813037,433.985449569212,1.06140053211018,1.64351398943455,"No","No","No","X__STOf.Length","X__STOf.Timeframe"
