"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","YName","XName"
"1","A00017",107980.21,874.7,52636.17,6,598,443,-175.5,"60","6","AUDUSD",175.4539,5.69950283236793,1709.85084971038,6154.33512734684,7.03593818148719,0.683662970161198,"No","BLAI.length","BLAI.Timeframe"
"2","A00016",112136.31,874.54,52636.17,6,595,429,-175.5,"60","3","AUDUSD",175.4539,5.69950283236793,1709.85084971038,6391.21216456289,7.30808443817651,0.680357673748485,"No","BLAI.length","BLAI.Timeframe"
"3","A00018",112886.79,874.7,63836.29,8,554,423,-212.8,"60","9","AUDUSD",212.787633333333,4.69952122844232,1409.8563685327,5305.1386601571,6.06509507277592,0.633360009145993,"No","BLAI.length","BLAI.Timeframe"
"4","A00012",92053.67,874.54,24600.71,6,553,422,-82,"30","6","AUDUSD",82.0023666666667,12.1947699883459,3658.43099650376,11225.7333223309,12.8361576626923,0.632332426189768,"No","BLAI.length","BLAI.Timeframe"
"5","A00014",84129.13,874.7,24600.71,6,540,420,-82,"30","12","AUDUSD",82.0023666666667,12.1947699883459,3658.43099650376,10259.3538966965,11.7289972524254,0.617354521550246,"No","BLAI.length","BLAI.Timeframe"
"6","A00031",28534.35,845.87,7130.13,6,188,136,-23.8,"15","3","EURGBP",23.7671,42.0749691800851,12622.4907540255,12005.8189682376,14.1934564037472,0.222256375093099,"No","BLAI.length","BLAI.Timeframe"
"7","A00046",22301.31,838.36,8790.83,6,167,124,-29.3,"120","3","EURGBP",29.3027666666667,34.1264704242944,10237.9411272883,7610.64996138021,9.07802132899973,0.19919843503984,"No","BLAI.length","BLAI.Timeframe"
"8","A00032",21560.96,845.9,8232.57,5,160,121,-27.4,"15","6","EURGBP",27.4419,36.4406254668955,10932.1876400687,7856.94868066716,9.28827128581056,0.189147653386925,"No","BLAI.length","BLAI.Timeframe"
"9","A00028",16662.44,839.02,12734.83,5,161,120,-42.4,"5","9","EURGBP",42.4494333333333,23.5574404997947,7067.2321499384,3925.24438881398,4.67836808277989,0.191890538962122,"No","BLAI.length","BLAI.Timeframe"
"10","A00027",16777.29,845.9,5742.92,5,156,119,-19.1,"5","6","EURGBP",19.1430666666667,52.2382342083818,15671.4702625145,8764.16004401942,10.3607519139608,0.184418962052252,"No","BLAI.length","BLAI.Timeframe"
"11","A00066",100104.97,861,27053.39,7,447,317,-90.2,"60","3","EURJPY",90.1779666666667,11.0891832779552,3326.75498338656,11100.8235936421,12.8929426174704,0.519163763066202,"No","BLAI.length","BLAI.Timeframe"
"12","A00071",129488.09,860.85,54950.39,7,429,309,-183.2,"120","3","EURJPY",183.167966666667,5.459469896392,1637.8409689176,7069.36329296298,8.2120732914712,0.498344659348319,"No","BLAI.length","BLAI.Timeframe"
"13","A00067",74988.4,861,20820.06,6,423,304,-69.4,"60","6","EURJPY",69.4002,14.4091803770018,4322.75411310054,10805.2138178276,12.5496095445152,0.491289198606272,"No","BLAI.length","BLAI.Timeframe"
"14","A00068",71029.63,849.99,12611.08,6,416,297,-42,"60","9","EURJPY",42.0369333333333,23.7886049410518,7136.58148231555,16896.9580717908,19.8790080727901,0.489417522559089,"No","BLAI.length","BLAI.Timeframe"
"15","A00063",70977.67,863.47,28714.1,6,401,284,-95.7,"30","9","EURJPY",95.7136666666667,10.4478287670517,3134.34863011552,7415.62542444304,8.58816800171754,0.464405248589992,"No","BLAI.length","BLAI.Timeframe"
"16","A00092",156899.6,858.32,63264.66,8,329,235,-210.9,"60","6","EURUSD",210.8822,4.74198391329377,1422.59517398813,7440.15379202228,8.66827499303555,0.383306925156119,"No","BLAI.length","BLAI.Timeframe"
"17","A00081",68186.43,858.39,50045.09,7,319,227,-166.8,"15","3","EURUSD",166.816966666667,5.99459407506311,1798.37822251893,4087.49969277705,4.76182119173925,0.371625950908095,"No","BLAI.length","BLAI.Timeframe"
"18","A00082",54499.87,858.29,24461.91,7,296,221,-81.5,"15","6","EURUSD",81.5397,12.2639646699706,3679.18940099117,6683.84480197989,7.78739680292197,0.344871779934521,"No","BLAI.length","BLAI.Timeframe"
"19","A00088",63066.34,858.13,42267.44,7,298,217,-140.9,"30","9","EURUSD",140.891466666667,7.09766193552295,2129.29858065688,4476.23560830748,5.21626747498337,0.347266731147961,"No","BLAI.length","BLAI.Timeframe"
"20","A00089",52148.69,858.13,40340.28,6,303,217,-134.5,"30","12","EURUSD",134.4676,7.43673568948951,2231.02070684685,3878.16024083125,4.51931553591093,0.3530933541538,"No","BLAI.length","BLAI.Timeframe"
"21","A00118",79578.7,851.03,13050.1,6,489,365,-43.5,"60","9","GBPJPY",43.5003333333333,22.9883295913441,6896.49887740324,18293.813840507,21.4960857320035,0.574597840264151,"No","BLAI.length","BLAI.Timeframe"
"22","A00121",158401.52,855.82,52496.37,7,497,364,-175,"120","3","GBPJPY",174.9879,5.7146808436469,1714.40425309407,9052.14131948552,10.5771556162342,0.580729592671356,"No","BLAI.length","BLAI.Timeframe"
"23","A00117",76767.71,860.93,24758.29,7,491,357,-82.5,"60","6","GBPJPY",82.5276333333333,12.1171534867715,3635.14604603145,9302.06124897963,10.8046661737652,0.570313498193814,"No","BLAI.length","BLAI.Timeframe"
"24","A00119",67098.96,851.03,6944.22,6,478,356,-23.1,"60","12","GBPJPY",23.1474,43.2013962691274,12960.4188807382,28987.6876020633,34.0618868924284,0.561672326474977,"No","BLAI.length","BLAI.Timeframe"
"25","A00120",89213.28,832.4,19269.72,7,459,343,-64.2,"60","15","GBPJPY",64.2324,15.568467004191,4670.54010125731,13889.1400601566,16.6856560069156,0.551417587698222,"No","BLAI.length","BLAI.Timeframe"
"26","A00146",117950.58,853.74,75075.62,7,387,284,-250.3,"120","3","GBPUSD",250.252066666667,3.99597099564413,1198.79129869324,4713.27096599402,5.52073343874484,0.453299599409656,"No","BLAI.length","BLAI.Timeframe"
"27","A00144",104258.2,848.96,47674.34,7,382,282,-158.9,"60","12","GBPUSD",158.914466666667,6.2926933020992,1887.80799062976,6560.64876828919,7.72786558646955,0.449962306822465,"No","BLAI.length","BLAI.Timeframe"
