"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","YName","XName"
"1","A00021",233382.75,874.72,85558.98,8,767,568,-285.2,"50","0.5","AUDUSD",285.1966,3.50635316129295,1051.90594838788,8183.22343253741,9.3552490311613,0.876852021218218,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"2","A00015",119358.94,874.6,46410.1,7,498,378,-154.7,"30","2.5","AUDUSD",154.700333333333,6.46411018291277,1939.23305487383,7715.49339475675,8.82173953207952,0.569403155728333,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"3","A00010",76323.89,874.6,23470.04,6,495,370,-78.2,"20","2.5","AUDUSD",78.2334666666667,12.782253460156,3834.6760380468,9755.91307045067,11.1547142355942,0.565973016235994,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"4","A00020",109937.83,874.7,56175.61,7,475,357,-187.3,"40","2.5","AUDUSD",187.252033333333,5.34039594763635,1602.1187842909,5871.11541823934,6.71214749998781,0.54304332914142,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"5","A00025",124435.7,874.7,72877.46,7,454,350,-242.9,"50","2.5","AUDUSD",242.924866666667,4.11649912057857,1234.94973617357,5122.39449618579,5.85617296923035,0.519035097747799,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"6","A00028",41905.73,845.81,16858.09,6,275,198,-56.2,"10","1.5","EURGBP",56.1936333333333,17.7956102974892,5338.68308924677,7457.38040311803,8.8168505966092,0.325132121871342,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"7","A00027",43797.11,845.84,22723.53,8,276,195,-75.7,"10","1","EURGBP",75.7451,13.2021741340364,3960.65224021092,5782.17072787547,6.83601003484757,0.326302846874113,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"8","A00032",52786.13,845.85,36293.33,6,245,178,-121,"20","1","EURGBP",120.977766666667,8.26598165558244,2479.79449667473,4363.2918224919,5.15846996806987,0.289649465035172,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"9","A00031",46555.33,845.84,43663.24,6,232,170,-145.5,"20","0.5","EURGBP",145.544133333333,6.87076817936552,2061.23045380966,3198.70879943861,3.78169488252933,0.274283552444907,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"10","A00033",43017.3,845.84,34391.66,6,229,166,-114.6,"20","1.5","EURGBP",114.638866666667,8.72304506383234,2616.9135191497,3752.41846424395,4.43632183893402,0.270736782370188,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"11","A00053",348214.34,863.47,84156.05,9,829,557,-280.5,"10","1.5","EURJPY",280.520166666667,3.56480609534312,1069.44182860293,12413.1660171788,14.3759088528597,0.960079678506491,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"12","A00051",300141.3,863.47,85494.29,9,820,554,-285,"10","0.5","EURJPY",284.980966666667,3.50900627398625,1052.70188219588,10531.9770478239,12.1972703716677,0.949656618064322,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"13","A00059",128787,863.5,39879.4,7,601,415,-132.9,"20","2","EURJPY",132.931333333333,7.52268088286183,2256.80426485855,9688.23502861126,11.2197278849001,0.696004632310365,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"14","A00054",157528.95,863.5,38494.79,7,613,410,-128.3,"10","2","EURJPY",128.315966666667,7.79326241291354,2337.97872387406,12276.6444498074,14.2173068324347,0.709901563404748,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"15","A00068",189940.3,863.5,60554.21,8,597,404,-201.8,"40","1.5","EURJPY",201.847366666667,4.95423852445602,1486.27155733681,9410.09551606734,10.8976207481961,0.69137232194557,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"16","A00089",251912.98,858.13,86925.89,8,402,283,-289.8,"30","2","EURUSD",289.752966666667,3.45121574251354,1035.36472275406,8694.06042319498,10.1314024951872,0.468460489669397,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"17","A00085",97025.47,858.06,60367.67,7,281,201,-201.2,"20","2.5","EURUSD",201.225566666667,4.96954744153617,1490.86423246085,4821.72676202345,5.61933520036297,0.327482926601869,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"18","A00090",74791.24,858.07,39354.94,6,257,191,-131.2,"30","2.5","EURUSD",131.183133333333,7.62293119999675,2286.87935999902,5701.28476882445,6.6443119661851,0.299509364037899,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"19","A00095",77729.38,858.13,80992.93,7,253,177,-270,"40","2.5","EURUSD",269.976433333333,3.70402700581396,1111.20810174419,2879.11722665176,3.35510613386289,0.294827124095417,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"20","A00100",72162.89,858.13,28512.3,6,242,171,-95,"50","2.5","EURUSD",95.041,10.5217748129755,3156.53244389264,7592.81678433518,8.84809619094447,0.282008553482573,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"21","A00110",97331.28,866.77,59013.42,6,466,347,-196.7,"20","2.5","GBPJPY",196.7114,5.0835894615157,1525.07683845471,4947.92269283834,5.70846094447009,0.537628205867762,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"22","A00105",44826.57,860.89,37708.28,5,237,177,-125.7,"10","2.5","GBPJPY",125.694266666667,7.95581235739206,2386.74370721762,3566.317795455,4.14259405435654,0.275296495487228,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"23","A00145",43653.67,852.3,33287.96,6,293,218,-111,"40","2.5","GBPUSD",110.959866666667,9.01226749851898,2703.68024955569,3934.18551332073,4.615963291471,0.34377566584536,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"24","A00150",46627.5,852.3,11567.25,6,286,213,-38.6,"50","2.5","GBPUSD",38.5575,25.9352914478376,7780.5874343513,12092.9780198405,14.1886401734606,0.335562595330283,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"25","A00160",129454.72,869.4,89860,7,558,428,-299.5,"20","2.5","NZDUSD",299.533333333333,3.33852659692856,1001.55797907857,4321.88025817939,4.97110680719967,0.641821946169772,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"26","A00165",72826.43,874.54,19205.98,6,528,397,-64,"30","2.5","NZDUSD",64.0199333333333,15.6201349787931,4686.04049363792,11375.5866662362,13.0075087088484,0.60374596930958,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"27","A00170",65704.98,874.44,15168.8,6,509,391,-50.6,"40","2.5","NZDUSD",50.5626666666667,19.777437898845,5933.2313696535,12994.7616159485,14.8606669593666,0.582086821279905,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
