"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","YName","XName"
"1","A00025",120075.92,869.06,65465.45,8,494,371,-218.2,"50","2.5","AUDUSD",218.218166666667,4.58256988991903,1374.77096697571,5502.56295496327,6.33162607295615,0.568430257979886,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"2","A00005",33727.22,864.77,6196.82,4,275,221,-20.7,"10","2.5","AUDUSD",20.6560666666667,48.4119274079286,14523.5782223786,16327.9972631124,18.8813178800286,0.318003631023278,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"3","A00028",43557.95,845.57,6403.32,7,300,214,-21.3,"10","1.5","EURGBP",21.3444,46.8506962013456,14055.2088604037,20407.202826034,24.1342559764821,0.354790259824734,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"4","A00027",60397.63,845.57,35521.55,9,293,209,-118.4,"10","1","EURGBP",118.405166666667,8.4455774030131,2533.67322090393,5100.92859123546,6.0325326007728,0.346511820428823,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"5","A00026",39376.1,845.58,15093.62,7,267,202,-50.3,"10","0.5","EURGBP",50.3120666666667,19.8759475858012,5962.78427574035,7826.37299733265,9.25562690382063,0.315759596963031,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"6","A00032",39093.76,845.57,15162.41,7,261,197,-50.5,"20","1","EURGBP",50.5413666666667,19.7857728421801,5935.73185265403,7735.00254906707,9.14767854709494,0.308667526047518,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"7","A00033",51864.73,845.55,35757.06,9,262,187,-119.2,"20","1.5","EURGBP",119.1902,8.3899515228601,2516.98545685803,4351.42570446228,5.14626657733106,0.309857489208208,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"8","A00052",311856.38,863.67,35538.14,8,883,584,-118.5,"10","1","EURJPY",118.460466666667,8.44163481825442,2532.49044547633,26325.7767570278,30.481291184165,1.02238123357301,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"9","A00058",236492.11,863.67,49998.08,8,778,520,-166.7,"20","1.5","EURJPY",166.660266666667,6.0002304088477,1800.06912265431,14190.0714987456,16.4299691997471,0.900807021200227,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"10","A00059",185278.9,863.67,46545.93,8,641,432,-155.2,"20","2","EURJPY",155.1531,6.44524666281241,1933.57399884372,11941.6821191455,13.8266723622976,0.742181620294789,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"11","A00074",154747.55,863.65,35335.29,7,537,378,-117.8,"50","2","EURJPY",117.7843,8.49009587865276,2547.02876359583,13138.2153648661,15.2124302262098,0.621779656110693,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"12","A00060",114605.53,861.07,42679.12,7,423,291,-142.3,"20","2.5","EURJPY",142.263733333333,7.02919835273079,2108.75950581924,8055.8500268984,9.35562733215464,0.491249259642073,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"13","A00079",210223.81,858.44,69936.99,8,433,291,-233.1,"10","2","EURUSD",233.1233,4.28957551647562,1286.87265494268,9017.70908356222,10.5047633888941,0.504403336284423,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"14","A00099",199748.27,858.44,77122.7,9,395,268,-257.1,"50","2","EURUSD",257.075666666667,3.88990530673848,1166.97159202154,7770.01855484831,9.05132397703778,0.460136992684404,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"15","A00080",29802.43,858.01,37722.86,6,160,116,-125.7,"10","2.5","EURUSD",125.742866666667,7.9527374117445,2385.82122352335,2370.10900021897,2.76233260710128,0.186478013076771,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"16","A00101",272313.1,861.25,48116.18,8,1030,714,-160.4,"10","0.5","GBPJPY",160.387266666667,6.23490892252876,1870.47267675863,16978.4737691147,19.7137576419329,1.19593613933237,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"17","A00102",398621.38,861.24,74166.65,10,1053,712,-247.2,"10","1","GBPJPY",247.222166666667,4.04494472920106,1213.48341876032,16124.0144997785,18.7218597600884,1.22265570572663,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"18","A00103",473116.7,861.25,77000.55,10,1050,708,-256.7,"10","1.5","GBPJPY",256.6685,3.89607606698913,1168.82282009674,18432.9865176288,21.4025968274354,1.21915820029028,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"19","A00107",288956.97,861.24,38028.45,8,950,653,-126.8,"20","1","GBPJPY",126.7615,7.88883059919613,2366.64917975884,22795.32586787,26.4680296640541,1.10306070317217,"No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
