"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","YName","XName"
"1","A00001",67936.95,869.06,42111.86,6,596,454,-140.4,"0.1","0.1","AUDUSD",140.372866666667,7.12388386549537,2137.16515964861,4839.74941975966,5.56894739115787,0.68579844889881,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"2","A00003",93352.89,869.06,75138.65,8,589,450,-250.5,"0.1","0.3","AUDUSD",250.462166666667,3.99261897838197,1197.78569351459,3727.22520300804,4.28880077671051,0.677743769129864,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"3","A00004",72125.61,869.06,45591.37,8,585,447,-152,"0.1","0.4","AUDUSD",151.971233333333,6.58019269874978,1974.05780962494,4746.00412314874,5.46107762772276,0.673141094976181,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"4","A00006",128578.52,869.15,63836.29,8,510,388,-212.8,"0.2","0.2","AUDUSD",212.787633333333,4.69952122844232,1409.8563685327,6042.57484261695,6.95228078308342,0.58678018753955,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"5","A00007",104981.63,869.17,40404.95,8,508,387,-134.7,"0.2","0.3","AUDUSD",134.683166666667,7.4248328484505,2227.44985453515,7794.71054907876,8.96799308429739,0.584465639633213,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"6","A00017",17896.48,799.34,9103.34,6,176,127,-30.3,"0.1","0.1","EURGBP",30.3444666666667,32.9549374185738,9886.48122557215,5897.77378412758,7.37830433123274,0.220181649861135,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"7","A00018",18903.64,799.34,9252.2,6,175,127,-30.8,"0.1","0.2","EURGBP",30.8406666666667,32.4247206069908,9727.41618209723,6129.45245455135,7.66814178516195,0.218930617759652,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"8","A00019",23520.88,799.34,11996.21,7,174,127,-40,"0.1","0.3","EURGBP",39.9873666666667,25.0078983278886,7502.36949836657,5882.07775622467,7.35866809646042,0.217679585658168,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"9","A00020",19108.55,799.34,8071.03,7,174,127,-26.9,"0.1","0.4","EURGBP",26.9034333333333,37.1699770661241,11150.9931198372,7102.64365266887,8.88563521488837,0.217679585658168,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"10","A00021",22582.08,799.37,10231.91,7,137,98,-34.1,"0.2","0.1","EURGBP",34.1063666666667,29.3200389761051,8796.01169283154,6621.07465761525,8.28286607905631,0.171384965660458,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"11","A00022",23201.85,799.37,10184.07,7,136,98,-33.9,"0.2","0.2","EURGBP",33.9469,29.4577708126515,8837.33124379546,6834.74779729519,8.55016800392207,0.170133980509651,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"12","A00023",19357.71,799.37,8292.46,7,135,98,-27.6,"0.2","0.3","EURGBP",27.6415333333333,36.1774431230298,10853.232936909,7003.12452517106,8.76080479023614,0.168882995358845,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"13","A00033",51870.3,849.8,20770.24,5,469,330,-69.2,"0.1","0.1","EURJPY",69.2341333333333,14.4437425855455,4333.12277566364,7492.01261035019,8.81620688438479,0.551894563426689,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"14","A00034",50003.14,849.8,12752.01,5,462,326,-42.5,"0.1","0.2","EURJPY",42.5067,23.5257030068201,7057.71090204603,11763.5902104845,13.8427750182213,0.543657331136738,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"15","A00037",90237.55,850.01,12531.54,6,390,273,-41.8,"0.2","0.1","EURJPY",41.7718,23.9395956123509,7181.87868370527,21602.504560493,25.4144122545534,0.458818131551394,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"16","A00038",77663.52,850.01,11920.65,6,386,270,-39.7,"0.2","0.2","EURJPY",39.7355,25.1664129053365,7549.92387160096,19545.1221200186,22.9939908001301,0.454112304561123,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
