"","RawPassProfit","CappedProfit"
"1",26.16293059827,26.16293059827
"2",38.4230401646693,38.4230401646693
"3",67.1374357811698,67.1374357811698
"4",74.3062505434114,74.3062505434114
"5",28.4061881082892,28.4061881082892
"6",51.3650964875333,51.3650964875333
"7",37.4212805302247,37.4212805302247
"8",66.7470821652594,66.7470821652594
"9",77.286521012712,77.286521012712
"10",66.8445936987855,66.8445936987855
"11",53.8188787032095,53.8188787032095
"12",59.4216948584751,59.4216948584751
"13",34.8790280901135,34.8790280901135
"14",98.2029196586138,98.2029196586138
"15",69.718742409212,69.718742409212
"16",35.3320160301511,35.3320160301511
"17",81.2374705043675,80.4102379722572
"18",15.4746596701149,15.4746596701149
"19",96.8885304126651,87.8657928175008
"20",46.0745886103366,46.0745886103366
"21",39.873096188518,39.873096188518
"22",51.3031693220726,51.3031693220726
"23",44.6842814221329,44.6842814221329
"24",46.260349453375,46.260349453375
"25",51.1397951082163,51.1397951082163
