"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","YName","XName"
"1","A00012",195183.45,873.12,68150.57,6,788,583,-227.2,"20","0","AUDUSD",227.168566666667,4.4020174739551,1320.60524218653,8592.00957526841,9.84058270944247,0.90251053692505,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"2","A00018",130196.45,873.12,59289.71,5,658,510,-197.6,"30","0","AUDUSD",197.632366666667,5.05989993879208,1517.96998163762,6587.81009385946,7.54513708752457,0.753619204691222,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"3","A00024",102252.15,873.12,56071.68,5,591,478,-186.9,"40","0","AUDUSD",186.9056,5.35029448020819,1605.08834406246,5470.7911373442,6.2657952370169,0.676882902693788,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"4","A00030",62897.19,873.12,53598.24,4,549,456,-178.7,"50","0","AUDUSD",178.6608,5.59719871398762,1679.15961419629,3520.48070981435,4.0320697152904,0.628779549202859,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"5","A00011",113160.05,868.31,70054.54,6,565,429,-233.5,"20","-0.2","AUDUSD",233.515133333333,4.28237770171641,1284.71331051492,4845.94074845114,5.58088787236256,0.650689269961189,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"6","A00036",154758.53,865.83,57175.55,8,728,538,-190.6,"10","0","EURGBP",190.585166666667,5.24699806123422,1574.09941837026,8120.17706869457,9.3784889281898,0.84081170668607,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"7","A00042",70195.01,865.83,27868.15,5,500,363,-92.9,"20","0","EURGBP",92.8938333333333,10.7649772231024,3229.49316693071,7556.47683825442,8.72743706992645,0.577480567778894,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"8","A00035",69759.59,852.88,36318.91,7,412,304,-121.1,"10","-0.2","EURGBP",121.063033333333,8.26015979003775,2478.04793701133,5762.2536028752,6.75623018815683,0.483069130475565,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"9","A00048",47798.65,865.83,14965.03,5,401,290,-49.9,"30","0","EURGBP",49.8834333333333,20.0467356229824,6014.02068689471,9582.06899685467,11.0669172896003,0.463139415358673,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"10","A00054",37638.02,865.83,14293.75,4,355,274,-47.6,"40","0","EURGBP",47.6458333333333,20.9881941407958,6296.45824223874,7899.54070835155,9.12366250690268,0.410011203123015,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"11","A00063",91672.06,811.47,30179.06,7,271,195,-100.6,"10","-0.6","EURJPY",100.596866666667,9.94066746943079,2982.20024082924,9112.81464697708,11.2300080680457,0.333961822371745,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"12","A00069",33998.71,811.47,74491.17,6,187,135,-248.3,"20","-0.6","EURJPY",248.3039,4.02732296995738,1208.19689098721,1369.2378573192,1.6873548711834,0.230445980750983,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"13","A00062",58230.89,686.11,33736.87,6,162,122,-112.5,"10","-0.8","EURJPY",112.456233333333,8.89234834174006,2667.70450252202,5178.09358129548,7.54703120679698,0.23611374269432,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"14","A00081",25664.01,811.47,60410.35,5,144,111,-201.4,"40","-0.6","EURJPY",201.367833333333,4.96603644905219,1489.81093471566,1274.4840908884,1.57058682500696,0.177455728492735,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"15","A00087",27079.48,811.47,61101.19,5,133,104,-203.7,"50","-0.6","EURJPY",203.670633333333,4.90988800709119,1472.96640212736,1329.57214090266,1.63847356144116,0.163900082566207,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"16","A00120",65449.94,871.85,51374,5,411,317,-171.2,"50","0","EURUSD",171.246666666667,5.83952972320629,1751.85891696189,3821.96870012068,4.38374571327715,0.471411366634169,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"17","A00101",99393.42,867.89,88252.19,7,393,283,-294.2,"20","-0.2","EURUSD",294.173966666667,3.39934906997775,1019.80472099333,3378.72929838908,3.89303863207213,0.452822362280934,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"18","A00107",59953.08,867.89,30111.07,5,332,248,-100.4,"30","-0.2","EURUSD",100.370233333333,9.96311323377084,2988.93397013125,5973.19324753322,6.88243123844406,0.382536957448525,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"19","A00113",54562.66,867.88,47988.27,5,304,230,-160,"40","-0.2","EURUSD",159.9609,6.25152771708586,1875.45831512576,3410.99981307932,3.93026664179302,0.350278840392681,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"20","A00094",94201.62,857.65,39214.45,7,299,220,-130.7,"10","-0.4","EURUSD",130.714833333333,7.65024117385301,2295.0723521559,7206.65111967655,8.40278799006185,0.34862706232146,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"21","A00124",111209.3,866.29,27441.22,7,506,384,-91.5,"10","-0.4","GBPJPY",91.4707333333333,10.9324585422951,3279.73756268854,12157.9106176766,14.0344579963714,0.584100012697826,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"22","A00150",88157.49,872.41,83468.1,5,493,375,-278.2,"50","0","GBPJPY",278.227,3.59418748000733,1078.2562440022,3168.54546826872,3.63194537920097,0.565101271191298,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"23","A00149",64898.53,872.41,83468.1,5,372,284,-278.2,"50","-0.2","GBPJPY",278.227,3.59418748000733,1078.2562440022,2332.5748399688,2.67371401057852,0.426405015990188,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"24","A00130",42007.97,866.29,20943.37,4,360,264,-69.8,"20","-0.4","GBPJPY",69.8112333333333,14.3243422620142,4297.30267860425,6017.36540012424,6.94613281940717,0.415565226425331,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"25","A00123",47487.37,832.16,10171.31,7,316,238,-33.9,"10","-0.6","GBPJPY",33.9043666666667,29.494725851439,8848.4177554317,14006.2695955585,16.8312218750703,0.379734666410306,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"26","A00156",383790.3,873.82,61332.6,9,1005,763,-204.4,"10","0","GBPUSD",204.442,4.89136283151212,1467.40884945363,18772.5760851488,21.4833444933154,1.150122450848,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"27","A00162",157264.61,873.82,39868,6,703,520,-132.9,"20","0","GBPUSD",132.893333333333,7.52483194541989,2257.44958362597,11833.89761212,13.5427177360555,0.804513515369298,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"28","A00155",157783.81,864.72,41511.18,8,671,510,-138.4,"10","-0.2","GBPUSD",138.3706,7.22696873468786,2168.09062040636,11402.9866170993,13.1869120837951,0.775973725599038,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"29","A00168",79162.39,873.82,22182.5,5,570,426,-73.9,"30","0","GBPUSD",73.9416666666667,13.5241744618506,4057.25233855517,10706.0597317705,12.2520195598299,0.652308255704836,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"30","A00174",52280.85,872.56,8957.09,4,517,403,-29.9,"40","0","GBPUSD",29.8569666666667,33.4930206127213,10047.9061838164,17510.4358670059,20.0678874427041,0.592509397634547,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"31","A00185",344220.8,870.09,65521.6,8,888,679,-218.4,"10","-0.2","NZDUSD",218.405333333333,4.57864276818637,1373.59283045591,15760.6407657933,18.1138051992245,1.02058407750922,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"32","A00210",86834.24,874.34,53116.36,5,554,454,-177.1,"50","0","NZDUSD",177.054533333333,5.64797738399243,1694.39321519773,4904.37823676171,5.60923466473192,0.63362078825171,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"33","A00209",67848.23,870.09,53116.36,5,403,337,-177.1,"50","-0.2","NZDUSD",177.054533333333,5.64797738399243,1694.39321519773,3832.05268583916,4.40420265241431,0.463170476617361,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"34","A00195",55078.96,864.68,80443.67,6,204,158,-268.1,"30","-0.6","NZDUSD",268.145566666667,3.72931767036487,1118.79530110946,2054.0693879332,2.37552549837304,0.235925429060462,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"35","A00201",36114.16,864.68,51572,5,181,149,-171.9,"40","-0.6","NZDUSD",171.906666666667,5.81711005972233,1745.1330179167,2100.80043434422,2.42956982276012,0.209325993431096,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"36","A00222",98012.7,869.28,79945.3,7,569,423,-266.5,"20","0","USDCAD",266.484333333333,3.75256581687729,1125.76974506319,3677.99107639849,4.23107753128852,0.654564697220688,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"37","A00228",72449.43,869.28,21523.28,5,487,372,-71.7,"30","0","USDCAD",71.7442666666667,13.9383960065566,4181.51880196699,10098.288457893,11.6168420507696,0.560233756672188,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"38","A00234",48853.79,869.28,19574.14,4,453,355,-65.2,"40","0","USDCAD",65.2471333333333,15.3263438393717,4597.90315181152,7487.49983396461,8.61345002066608,0.521120927664274,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"39","A00240",44762.13,869.28,10749.24,4,426,345,-35.8,"50","0","USDCAD",35.8308,27.9089498420353,8372.6849526106,12492.6404099267,14.3712502414949,0.490060739922695,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"40","A00221",67854.21,868.36,76307.71,7,354,267,-254.4,"20","-0.2","USDCAD",254.359033333333,3.93145070137736,1179.43521041321,2667.65481495906,3.07206091362921,0.40766502372288,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"41","A00258",103507.35,872.12,82738.22,6,492,343,-275.8,"30","0","USDCHF",275.794066666667,3.6258938130407,1087.76814391221,3753.06659969238,4.30338324965874,0.564142549190478,"No","PPOthreshold","Percent.price.extention.to.re.enter"
