"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","FailByTimeActive","MeetTarget","YName","XName"
"1","A00047",12892.98,360.85,2534.18,3,176,143,-8.4,"75","1.5","EURGBP",8.44726666666667,118.381488292071,35514.4464876212,15262.901609199,42.2970808069808,0.487737286961341,"No","No","Yes","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"2","A00043",11215.57,360.84,1921.93,3,151,121,-6.4,"60","2","EURGBP",6.40643333333333,156.093093921215,46827.9281763644,17506.7302138996,48.5166007479758,0.418468019066622,"No","No","Yes","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"3","A00045",5558.87,337.3,1512.89,2,79,70,-5,"60","3","EURGBP",5.04296666666667,198.295976574635,59488.7929723906,11023.0155530144,32.6801528402444,0.234212866884079,"No","No","Yes","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"4","A00030",3686.89,342.43,2376.87,3,45,39,-7.9,"15","3","EURGBP",7.9229,126.216410657714,37864.9231973141,4653.46022289818,13.5895225970218,0.131413719592325,"No","Yes","No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"5","A00100",6087.78,339.27,2450.03,2,79,68,-8.2,"75","3","EURUSD",8.16676666666667,122.447480234936,36734.2440704808,7454.33321224638,21.9716839456668,0.232852890028591,"No","No","No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"6","A00175",8837.92,357.75,1933.18,3,89,78,-6.4,"75","3","NZDUSD",6.44393333333333,155.184721546881,46555.4164640644,13715.1015425361,38.3371112300102,0.248777078965758,"No","No","Yes","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"7","A00194",10141.78,346.8,2486.96,3,124,104,-8.3,"60","2.5","USDCAD",8.28986666666667,120.6292019172,36188.76057516,12233.9482741982,35.276667457319,0.357554786620531,"No","No","Yes","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"8","A00190",7056.58,357.42,2310.03,3,93,84,-7.7,"45","3","USDCAD",7.7001,129.868443266971,38960.5329800912,9164.27059388839,25.6400609755704,0.260198086285043,"No","No","No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"9","A00200",4950.33,356.9,2447.08,3,65,54,-8.2,"75","3","USDCAD",8.15693333333333,122.59509292708,36778.5278781241,6068.86166369714,17.004375633783,0.182123844214066,"No","Yes","No","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
"10","A00274",12844.95,356.9,1808.78,2,125,109,-6,"75","2.5","XAUUSD",6.02926666666667,165.857649907673,49757.2949723018,21304.3322018156,59.6927212155102,0.350238161950126,"No","No","Yes","BB.Number.of.SDs.to.Enter","BB.Length.Bollinger.bands.to.Enter"
