"","RawPassProfit","CappedProfit"
"1",263.271801789711,197.062997999717
"2",262.056534629578,192.413770279835
"3",152.541669097061,146.521741554405
"4",110.597530679657,108.974716664796
"5",48.0458675946295,45.363065770444
"6",272.767435028701,198.339087866591
"7",262.9000085786,193.445599736971
"8",179.126100974736,179.126100974736
"9",110.808937398081,110.808937398081
"10",117.906207037987,115.059480776259
"11",240.416465833884,186.719830127472
"12",215.148431370055,210.765402878613
"13",210.979249400305,210.979249400305
"14",158.920293375383,158.920293375383
"15",90.5407206767053,90.5407206767053
"16",253.989361203037,219.469842560667
"17",172.736880011081,172.736880011081
"18",220.482958801517,217.435344466003
"19",157.094334194457,152.633540892116
"20",119.303911480236,109.014756028911
"21",174.38809775909,173.512890251981
"22",231.195480661639,180.564246160806
"23",169.627457523187,168.456331705603
"24",147.947741197775,146.879112615924
"25",160.773637778109,138.866376121441
