"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","YName","XName"
"1","A00001",25869.3,869.14,22267.74,5,329,257,-74.2,"0.1","0.1","AUDUSD",74.2258,13.4724044739161,4041.72134217482,3485.21673057077,4.0099601106505,0.378535103665693,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"2","A00003",29929.93,869.14,10462.44,5,324,255,-34.9,"0.1","0.3","AUDUSD",34.8748,28.6739995641552,8602.19986924656,8582.10799775196,9.87425270698847,0.372782290540074,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"3","A00002",34117.12,869.14,14784.4,5,325,254,-49.3,"0.1","0.2","AUDUSD",49.2813333333333,20.291658775466,6087.49763263981,6922.92957441628,7.96526402468679,0.373932853165198,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"4","A00004",32418.04,869.14,30386.78,5,322,252,-101.3,"0.1","0.4","AUDUSD",101.289266666667,9.8727143843474,2961.81431530422,3200.5404982035,3.68242227742768,0.370481165289827,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"5","A00006",45498.02,873.11,11861.82,5,291,233,-39.5,"0.2","0.2","AUDUSD",39.5394,25.291228496133,7587.36854883989,11507.0081994163,13.1793338747881,0.333291337861209,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"6","A00007",50974.04,873.11,20633.94,5,290,233,-68.8,"0.2","0.3","AUDUSD",68.7798,14.5391524837234,4361.74574511703,7411.19340271417,8.4882699805456,0.332146006803267,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"7","A00017",2859.04,754.84,419,2,63,50,-1.4,"0.1","0.1","EURGBP",1.39666666666667,715.99045346062,214797.136038186,20470.4534606205,27.1189304496589,0.0834613957924858,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"8","A00018",2773.18,754.84,419,2,63,50,-1.4,"0.1","0.2","EURGBP",1.39666666666667,715.99045346062,214797.136038186,19855.7040572792,26.304520239096,0.0834613957924858,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"9","A00019",2613.73,754.84,419,2,62,49,-1.4,"0.1","0.3","EURGBP",1.39666666666667,715.99045346062,214797.136038186,18714.0572792363,24.7920847851681,0.0821366117322876,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"10","A00020",2521.89,754.84,419,2,62,49,-1.4,"0.1","0.4","EURGBP",1.39666666666667,715.99045346062,214797.136038186,18056.491646778,23.9209523167533,0.0821366117322876,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"11","A00021",4205.07,756.2,363.62,2,54,48,-1.2,"0.2","0.1","EURGBP",1.21206666666667,825.0371266707,247511.13800121,34693.3887024916,45.8785886041941,0.0714096799788416,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"12","A00022",4205.07,756.2,363.62,2,54,48,-1.2,"0.2","0.2","EURGBP",1.21206666666667,825.0371266707,247511.13800121,34693.3887024916,45.8785886041941,0.0714096799788416,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"13","A00023",4196.47,756.2,363.62,2,54,48,-1.2,"0.2","0.3","EURGBP",1.21206666666667,825.0371266707,247511.13800121,34622.4355095979,45.7847599968235,0.0714096799788416,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"14","A00024",4071.52,756.2,363.62,2,54,48,-1.2,"0.2","0.4","EURGBP",1.21206666666667,825.0371266707,247511.13800121,33591.5516198229,44.4215176141535,0.0714096799788416,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"15","A00025",6004.72,756.24,2753.84,3,53,48,-9.2,"0.3","0.1","EURGBP",9.17946666666667,108.938790924672,32681.6372774017,6541.46936641199,8.64999122819739,0.0700835713530096,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"16","A00026",6004.72,756.24,2753.84,3,53,48,-9.2,"0.3","0.2","EURGBP",9.17946666666667,108.938790924672,32681.6372774017,6541.46936641199,8.64999122819739,0.0700835713530096,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"17","A00027",6004.72,756.24,2753.84,3,53,48,-9.2,"0.3","0.3","EURGBP",9.17946666666667,108.938790924672,32681.6372774017,6541.46936641199,8.64999122819739,0.0700835713530096,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"18","A00028",6004.72,756.24,2753.84,3,53,48,-9.2,"0.3","0.4","EURGBP",9.17946666666667,108.938790924672,32681.6372774017,6541.46936641199,8.64999122819739,0.0700835713530096,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"19","A00029",7628.97,756.6,2281.9,3,53,48,-7.6,"0.4","0.1","EURGBP",7.60633333333333,131.469389543801,39440.8168631404,10029.7602874797,13.2563577682788,0.0700502246893999,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"20","A00030",7628.97,756.6,2281.9,3,53,48,-7.6,"0.4","0.2","EURGBP",7.60633333333333,131.469389543801,39440.8168631404,10029.7602874797,13.2563577682788,0.0700502246893999,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"21","A00031",7628.97,756.6,2281.9,3,53,48,-7.6,"0.4","0.3","EURGBP",7.60633333333333,131.469389543801,39440.8168631404,10029.7602874797,13.2563577682788,0.0700502246893999,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"22","A00032",7628.97,756.6,2281.9,3,53,48,-7.6,"0.4","0.4","EURGBP",7.60633333333333,131.469389543801,39440.8168631404,10029.7602874797,13.2563577682788,0.0700502246893999,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"23","A00033",25744.01,697.08,20770.22,5,220,161,-69.2,"0.1","0.1","EURJPY",69.2340666666667,14.4437564936722,4333.12694810166,3718.40211610662,5.33425448457368,0.315602226430252,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"24","A00034",23599.08,697.08,12751.99,5,216,157,-42.5,"0.1","0.2","EURJPY",42.5066333333333,23.5257399041248,7057.72197123743,5551.85818056633,7.96444910278064,0.30986400413152,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"25","A00036",29841.36,697.08,10356.25,5,213,155,-34.5,"0.1","0.4","EURJPY",34.5208333333333,28.9680144840072,8690.40434520217,8644.44948702474,12.4009432016766,0.305560337407471,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"26","A00035",29672.16,697.08,15020.8,5,213,153,-50.1,"0.1","0.3","EURJPY",50.0693333333333,19.9723050703025,5991.69152109075,5926.21431614827,8.50148378399649,0.305560337407471,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"27","A00037",33968.63,697.23,10481.27,5,200,146,-34.9,"0.2","0.1","EURJPY",34.9375666666667,28.6224856338974,8586.74569016922,9722.66624178177,13.9447043899169,0.286849389727923,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"28","A00038",31567.42,697.23,7423.14,5,200,146,-24.7,"0.2","0.2","EURJPY",24.7438,40.4141643563236,12124.2493068971,12757.709001851,18.2977052075369,0.286849389727923,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"29","A00049",33147.94,823.71,46529.65,6,151,108,-155.1,"0.1","0.1","EURUSD",155.098833333333,6.44750175425777,1934.25052627733,2137.21401300031,2.59461948137125,0.183316944070122,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"30","A00050",16000.9,823.71,29168.43,6,148,105,-97.2,"0.1","0.2","EURUSD",97.2281,10.285092478409,3085.52774352271,1645.70736237775,1.99792082453503,0.179674885578662,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"31","A00051",19053.93,823.71,17434.6,6,148,105,-58.1,"0.1","0.3","EURUSD",58.1153333333333,17.2071627682883,5162.1488304865,3278.64074885572,3.98033379327157,0.179674885578662,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"32","A00052",14745.49,823.71,12154.45,6,145,105,-40.5,"0.1","0.4","EURUSD",40.5148333333333,24.6823179987577,7404.6953996273,3639.52873227501,4.41845884143085,0.176032827087203,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
"33","A00055",27632.42,826.11,10481.83,6,129,96,-34.9,"0.2","0.3","EURUSD",34.9394333333333,28.6209564551228,8586.28693653684,7908.66289569665,9.57337751110221,0.156153538874968,"No","Profit.Take.Extension.Factor..PTEF..","Minimum.profit.take"
