"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","YName","XName"
"1","A00012",55907.43,361.08,4936.82,4,499,393,-16.5,"15","40","AUDUSD",16.4560666666667,60.7678627132446,18230.3588139734,33973.7503089033,94.0892608532827,1.38196521546472,"No","BLAISlow.length","BLAISlow.Timeframe"
"2","A00011",60119.85,361.2,24879.33,5,503,389,-82.9,"15","20","AUDUSD",82.9311,12.0582025319814,3617.46075959441,7249.3732749234,20.0702471620249,1.39258028792913,"No","BLAISlow.length","BLAISlow.Timeframe"
"3","A00013",48274.22,360.76,4162.84,3,480,379,-13.9,"15","60","AUDUSD",13.8761333333333,72.0661855848411,21619.8556754523,34789.3889748345,96.4336095321945,1.33052444838674,"No","BLAISlow.length","BLAISlow.Timeframe"
"4","A00014",47776.22,363.67,6588.91,3,462,373,-22,"15","80","AUDUSD",21.9630333333333,45.5310514182164,13659.3154254649,21753.0152938802,59.8152591466994,1.27038248961971,"No","BLAISlow.length","BLAISlow.Timeframe"
"5","A00015",48393.9,363.45,6588.91,3,450,358,-22,"15","100","AUDUSD",21.9630333333333,45.5310514182164,13659.3154254649,22034.2514922802,60.6252620505715,1.23813454395378,"No","BLAISlow.length","BLAISlow.Timeframe"
"6","A00036",31140.8,363.62,21568.11,5,252,183,-71.9,"15","20","EURGBP",71.8937,13.9094246088322,4172.82738264966,4331.50609858722,11.9121778191167,0.693031186403388,"No","BLAISlow.length","BLAISlow.Timeframe"
"7","A00037",29860.32,359.39,20769.4,5,248,179,-69.2,"15","40","EURGBP",69.2313333333333,14.4443267499302,4333.29802497906,4313.12218937475,12.001230388644,0.690058154094438,"No","BLAISlow.length","BLAISlow.Timeframe"
"8","A00034",26334.46,358.77,21568.11,5,228,175,-71.9,"5","80","EURGBP",71.8937,13.9094246088322,4172.82738264966,3662.97185984307,10.2098053344568,0.635504640856259,"No","BLAISlow.length","BLAISlow.Timeframe"
"9","A00039",29328.83,359.3,20066.89,5,231,171,-66.9,"15","80","EURGBP",66.8896333333333,14.9499997259167,4484.999917775,4384.66000461457,12.2033398402855,0.642916782632897,"No","BLAISlow.length","BLAISlow.Timeframe"
"10","A00033",20280.31,358.77,8760.89,4,214,170,-29.2,"5","60","EURGBP",29.2029666666667,34.2430963064255,10272.9288919277,6944.60608454164,19.3567078756352,0.59648242606684,"No","BLAISlow.length","BLAISlow.Timeframe"
