"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","YName","XName"
"1","A00018",62746.5,871.53,30760.96,5,350,278,-102.5,"30","-0.1","AUDUSD",102.536533333333,9.75262150466045,2925.78645139814,6119.42865242177,7.02147792092271,0.401592601516873,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"2","A00024",48865.28,871.53,41950.53,5,331,268,-139.8,"40","-0.1","AUDUSD",139.8351,7.15128032947379,2145.38409884214,3494.49315658229,4.0096074220994,0.379791860291671,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"3","A00011",70014.71,868.61,62651.27,6,338,264,-208.8,"20","-0.2","AUDUSD",208.837566666667,4.78841051426412,1436.52315427924,3352.59173517153,3.8597203983048,0.389127456510977,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"4","A00030",41738.7,871.53,41950.53,4,319,262,-139.8,"50","-0.1","AUDUSD",139.8351,7.15128032947379,2145.38409884214,2984.85144287808,3.42484073167656,0.366022971096807,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"5","A00017",54794.82,868.61,32240.67,5,311,250,-107.5,"30","-0.2","AUDUSD",107.4689,9.30501754461058,2791.50526338317,5098.66761453779,5.86991585928988,0.358043310576668,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"6","A00042",43672.84,868.27,48250.03,6,325,230,-160.8,"20","-0.1","EURGBP",160.833433333333,6.21761271443769,1865.28381433131,2715.40805259603,3.12737748925568,0.374307531067525,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"7","A00048",32971.71,868.27,20094.03,5,291,207,-67,"30","-0.1","EURGBP",66.9801,14.9298075099918,4478.94225299753,4922.61283575271,5.66944940600586,0.335149204740461,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"8","A00035",45817.35,867.26,29202.34,6,288,200,-97.3,"10","-0.2","EURGBP",97.3411333333333,10.2731493435115,3081.94480305345,4706.88479073937,5.42730529568915,0.332080344994581,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"9","A00054",28632.52,868.27,9180.34,4,257,192,-30.6,"40","-0.1","EURGBP",30.6011333333333,32.6785282462305,9803.55847386916,9356.6861358076,10.776240266055,0.295990878413397,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"10","A00060",23183.61,868.27,7824.76,3,236,185,-26.1,"50","-0.1","EURGBP",26.0825333333333,38.3398340651982,11501.9502195594,8888.55760432269,10.2370893896169,0.271804853329034,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"11","A00084",86532.48,873.48,74406.9,6,330,250,-248,"40","-0.1","EURJPY",248.023,4.03188413977736,1209.56524193321,3488.88933687602,3.9942406659294,0.377799148234648,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"12","A00090",52454.31,873.48,52580.61,5,301,236,-175.3,"50","-0.1","EURJPY",175.2687,5.7055252877439,1711.65758632317,2992.79392156158,3.4262878618418,0.344598617026148,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"13","A00083",80041.93,873.48,74406.9,6,277,207,-248,"40","-0.2","EURJPY",248.023,4.03188413977736,1209.56524193321,3227.1978808417,3.6946442744444,0.317122315336356,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"14","A00089",45516.86,873.48,52580.61,5,249,194,-175.3,"50","-0.2","EURJPY",175.2687,5.7055252877439,1711.65758632317,2596.97595748699,2.97313728704377,0.285066630031598,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"15","A00082",59055.82,873.05,51536.59,5,231,173,-171.8,"40","-0.3","EURJPY",171.788633333333,5.82110690676275,1746.33207202882,3437.70241686538,3.9375779358174,0.264589656949774,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"16","A00096",147502.66,873.85,58050.77,7,433,304,-193.5,"10","-0.1","EURUSD",193.502566666667,5.16789010722855,1550.36703216857,7622.77537403897,8.72320807236822,0.4955083824455,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"17","A00102",77589.12,873.85,24442.25,5,367,260,-81.5,"20","-0.1","EURUSD",81.4741666666667,12.2738291278422,3682.14873835265,9523.15601059641,10.897929862787,0.419980545860274,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"18","A00108",56788.56,873.85,19165.22,5,330,237,-63.9,"30","-0.1","EURUSD",63.8840666666667,15.6533554010859,4696.00662032578,8889.31512395892,10.1725869702568,0.377639182926131,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"19","A00114",56262.97,873.85,40164.6,5,311,230,-133.9,"40","-0.1","EURUSD",133.882,7.46926397872754,2240.77919361826,4202.42975157228,4.80909738693401,0.355896320878869,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"20","A00120",51344.66,873.85,40164.6,5,293,222,-133.9,"50","-0.1","EURUSD",133.882,7.46926397872754,2240.77919361826,3835.06819438013,4.38870308906577,0.335297819991989,"No","PPOthreshold","Percent.price.extention.to.re.enter"
"21","A00129",47699.22,861.14,66004.93,5,268,196,-220,"20","-0.4","GBPJPY",220.016433333333,4.5451150391342,1363.53451174026,2167.98442176971,2.51757486793054,0.311215365678055,"No","PPOthreshold","Percent.price.extention.to.re.enter"
